img_idx,illum,occ,time,gt_bbox,pred_bbox,mse
0,0,0,1.5279741287231445,[449. 330. 571. 479.],[458.1835021972656 329.71630859375 569.5045776367188 469.5133056640625],13.291006391138069
1,0,0,0.20987892150878906,[361.  98. 624. 437.],[360.3623046875 118.44329833984375 617.9827270507812 439.2876281738281],21.442386031655495
2,0,0,0.7710127830505371,[294. 300. 749. 882.],[300.218994140625 288.29473876953125 745.3876953125 872.6458740234375],16.620392490413057
3,0,0,0.18773174285888672,[532. 168. 751. 455.],[521.93798828125 170.34152221679688 743.1340942382812 456.4500427246094],13.065293853390688
4,0,0,0.860266923904419,[439. 182. 624. 436.],[427.1249694824219 184.8415985107422 613.4874877929688 432.54351806640625],16.478811005345776
5,0,0,0.13713717460632324,[273. 327. 549. 699.],[272.5716247558594 312.1659240722656 564.9933471679688 693.1065673828125],22.599845477969193
6,0,0,0.7856652736663818,[207. 459. 537. 900.],[200.4893341064453 457.50152587890625 517.7681274414062 890.8223266601562],22.332236903453133
7,1,0,0.16590285301208496,[781. 769. 844. 868.],[778.2023315429688 777.86962890625 838.72216796875 861.2626342773438],12.639021859343588
8,0,0,0.42176198959350586,[349. 179. 520. 400.],[355.2167663574219 197.2561798095703 515.2404174804688 395.9131774902344],20.280336022085276
10,0,0,0.3282005786895752,[342. 324. 456. 454.],[344.711181640625 318.1600646972656 453.6707763671875 453.0086975097656],6.918331705504039
11,1,0,1.27292799949646,[254. 416. 404. 560.],[319.07696533203125 457.98199462890625 367.8489074707031 520.236572265625],94.26309440123721
12,1,0,0.16240572929382324,[396. 184. 448. 245.],"[405.9409484863281 190.91848754882812 451.77276611328125
 246.93670654296875]",12.832479228513114
13,0,0,1.4472615718841553,[442. 164. 558. 310.],[432.2872314453125 153.41416931152344 553.8763427734375 307.0313415527344],15.238607753358611
14,0,0,0.22098541259765625,[530. 394. 726. 663.],[520.0989379882812 400.7768249511719 723.8837280273438 656.3986206054688],13.856882851186914
